ID,po_ID,part_ID,orderedQty,receivedQty,unitPrice
ee9982a7-7455-4b2d-ae8b-05ca37a40483,28a79d26-7ffb-41fb-8523-1cd8a23dc5f8,315e2d57-5f6e-46c7-9b91-0cc9a8e00211,221,0,225.35
864b2514-ca72-4c66-b1b0-1e561d76fe40,f6451cf2-6a54-4ef3-bf2b-0517b1d9cd5b,a752a8cb-1a42-448e-9f41-11467a428069,223,0,199.37
ec19154a-379a-45ec-be77-313921d427c9,daaf1524-56d9-4335-9b46-494a899f17c3,25431261-a66a-47d4-a04a-d39cf259d212,135,135,821.7
91cf763a-6178-4ccf-bfdf-711a3cc6906c,69febdb9-d45e-4995-9f61-c7b1adaf6888,b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,261,0,123.26
fc5aec51-e6f0-441d-a59c-209d45469819,bb384505-0144-47a0-8636-d4366a87f4dc,355edc4b-7ed7-4d11-b7d2-a0c3dabc64cd,289,0,447.73
5f328a7c-9be4-45b5-abd6-d9fec166115f,8db4fcb0-1c3c-4258-8ff5-e59bb3dd1e75,b8ad8d43-3dea-496b-afb9-7724716b30f1,48,0,121.18
aee34ade-cdf9-471f-9818-8fabc5131001,8db4fcb0-1c3c-4258-8ff5-e59bb3dd1e75,ef511182-ecb5-4fb6-a75f-0ce934048e21,128,0,432.34
709313f2-d970-4757-87a4-40128ce9c0e4,9e07c257-c6d4-48e1-a576-f4caab27b513,315e2d57-5f6e-46c7-9b91-0cc9a8e00211,201,16,10.59
4ac0eee3-0d7b-4bfc-99ff-dad359f9cdbf,2112318d-e19b-443e-9d1b-d89a76c51e51,e8a0cd7e-4ae2-41f2-a138-5626f31bc4df,292,0,615.25
9357d515-c583-47f0-8b3a-3a870b2bb628,e8b8b2f2-b362-4f30-b254-e84ea1eaff47,de2c8387-ceea-4b72-aeb5-79833a9bff72,284,0,686.21
9664e3fb-9b56-4195-bee7-334530144ffc,77ce02d8-953b-4a75-9a2c-2f6c3a317f80,f075bd52-f7ab-416e-b691-122e7efe58da,101,0,208.62
07174660-bd39-417d-ad0b-0bf8a98fc9b7,b1229960-1f53-448f-b361-459cab043f68,0946819a-9285-487f-8ae5-4e23616154b8,279,279,71.77
e74620a2-37ab-47be-9dda-330fa74d4b96,d1ad6c70-7222-40c2-ba5a-f0485ac898d7,695ef300-0aae-4153-9d16-3f0b9157b4f9,217,0,583.02
6f528938-4684-4ad6-993b-3c15aa72d341,87fb4a6f-4adb-4b28-afe6-1d548d79e1c3,0946819a-9285-487f-8ae5-4e23616154b8,51,0,325.48
38ec527f-37aa-4e43-a206-acede4b109b4,8db4fcb0-1c3c-4258-8ff5-e59bb3dd1e75,b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,292,0,74.87
87b9c028-10c9-44ab-b671-5c2bba391ff5,e03ff519-e128-4c33-8501-1f5ca393affa,2b5bcd76-0f4f-4419-a2af-5bd49198787a,232,232,761.1
09cfe145-2447-49fe-8224-b1de4b97030c,e03ff519-e128-4c33-8501-1f5ca393affa,051dae6d-d352-4b01-ab2c-d08df04ebfc6,31,0,234.08
a6efdb1b-4f83-42fc-a3f6-e8431d6666d7,bb384505-0144-47a0-8636-d4366a87f4dc,457f426f-13c2-48a4-ac7c-793a651b6225,48,48,561.1
a34bc50a-5013-4ba1-b1b2-afae9dba6903,e300a29b-65f8-4bdf-8dae-dd53224cc650,debc1375-1aa5-420b-b921-84e3a43ca39c,101,0,126.84
8b7fd198-d179-48f5-8ee2-4407871d8a54,22ebd8b1-f067-45be-ad75-6dd8faf283c4,457f426f-13c2-48a4-ac7c-793a651b6225,213,213,208.2
52f5f06c-e5ef-4521-8b96-48d28591c957,89dc2d99-1f53-43f0-a2b9-2f0df5283782,ba798a88-e134-4615-b914-7d0d3229df06,209,209,672.97
07bb7ecc-2375-4f79-9e31-b77607606edc,a38226ad-0142-4fa5-be6b-c8de722ed6f9,2b5bcd76-0f4f-4419-a2af-5bd49198787a,50,50,374.34
57674353-5f73-483a-9862-7182027e5979,c231d5be-f190-4aaa-8a97-b91792b570c3,315e2d57-5f6e-46c7-9b91-0cc9a8e00211,48,22,540.83
6a59571c-1b1e-4014-9593-867fdee268c7,69febdb9-d45e-4995-9f61-c7b1adaf6888,534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,240,0,800.27
