ID,grNumber,po_ID,location_ID,receivedBy,createdAt,createdBy,modifiedAt,modifiedBy
e953acd8-38df-45c9-8cf2-db996cb9b6e9,GR-5010,ce822ce6-9bb1-4be9-a015-4eb08b001ac9,3a112cd1-76d9-4807-b433-bceb77a60ad0,lchen,2026-08-18T12:44:00Z,lchen,2026-08-18T12:44:00Z,asharma
f6a41cb1-9a6d-4430-8e1a-144eefc98d00,GR-5011,44f34bb9-a010-40b3-9186-848b9a57cfb2,dc7812b7-28e8-4668-9c9f-8ad43ab36d53,system,2026-06-30T20:52:00Z,mgarcia,2026-06-30T20:52:00Z,admin
d8d8a047-b932-4ec2-ba8f-5fd0c6d69e61,GR-5012,02c364f0-4626-4755-89d9-e6f3831f9646,c0e22fb4-3407-4048-acc6-865053730c6c,mgarcia,2026-06-09T11:09:00Z,system,2026-06-09T11:09:00Z,admin
dba4c6a0-2972-4f51-b870-b383f2aebf5f,GR-5013,163b2a83-3fb3-45e6-a90a-4b7902e543a2,ca358a6f-4cad-4d90-82a8-fdc96fdf9942,mgarcia,2026-05-14T03:22:00Z,lchen,2026-05-14T03:22:00Z,p.rossi
c2c949c9-011a-4816-be60-55c1c4953d7f,GR-5014,fb539d11-2e9a-4189-b145-243c189ff993,0ad37519-64dd-417b-a533-120bd1a69b6d,mgarcia,2026-08-02T08:40:00Z,mgarcia,2026-08-02T08:40:00Z,p.rossi
005d07fc-3a1b-4852-8b3b-69f99121a3a9,GR-5015,e03ff519-e128-4c33-8501-1f5ca393affa,fe003cc5-d3e7-49d0-a320-d1278a5d8a09,mgarcia,2026-05-31T03:29:00Z,system,2026-05-31T03:29:00Z,mgarcia
0ba10f36-49d5-47a0-9c12-afcf7b21e0f8,GR-5016,c81143f0-2f9a-4106-997e-6b897e6f6f0d,322c1e37-016e-43cb-bd18-5b1321d9c55a,asharma,2026-05-15T11:37:00Z,lchen,2026-05-15T11:37:00Z,lchen
17e8f937-d2d7-41b7-ab44-6f6eedcb4db5,GR-5017,72ca7572-2da2-4c1a-b236-a6bb52fda669,621dd3fb-a220-43f8-8817-cb2361ee66f3,p.rossi,2026-08-04T02:11:00Z,system,2026-08-04T02:11:00Z,p.rossi
676afc81-a28e-4f1f-b141-f1bf6f0bba2c,GR-5018,bb55ad0d-6743-45f7-ac27-22e39ba62971,bc4fa1f5-5dbf-4e32-aee6-34d3cd4071c4,admin,2026-08-01T09:09:00Z,admin,2026-08-01T09:09:00Z,admin
2f1a946a-8d1b-4515-87a1-1138f6163ba0,GR-5019,9e07c257-c6d4-48e1-a576-f4caab27b513,4576857b-c5ee-4fe7-9ba9-832e5145de67,p.rossi,2026-05-18T10:17:00Z,mgarcia,2026-05-18T10:17:00Z,asharma
e7cc0b39-a1ee-4716-87b9-350d843fae5a,GR-5020,ef212030-ae58-4580-a9fa-7c4a4bfdb84e,8d38cdf8-e198-4e2f-abea-f7d3a42e1c8d,jkim,2026-07-26T02:51:00Z,system,2026-07-26T02:51:00Z,lchen
17a6014d-67cb-4a75-a727-7cd09b44a6ec,GR-5021,bb384505-0144-47a0-8636-d4366a87f4dc,a027b987-01e1-4b1e-a380-1b24e693f738,admin,2026-06-27T05:35:00Z,p.rossi,2026-06-27T05:35:00Z,system
611a6383-e88e-4769-aea5-87db14e5af6b,GR-5022,28064021-ca4e-4b94-9283-7f621e06ec39,3a43ca38-6b24-43ed-a264-c0a776a50297,lchen,2026-06-19T22:10:00Z,p.rossi,2026-06-19T22:10:00Z,jkim
5d368efc-20f9-4afd-bad1-ebac23590170,GR-5023,69febdb9-d45e-4995-9f61-c7b1adaf6888,787fb9ac-b66a-4013-9d0e-600316db08a4,p.rossi,2026-08-14T16:18:00Z,lchen,2026-08-14T16:18:00Z,jkim
31db7875-e16c-4411-a295-b915848f7974,GR-5024,44db05eb-a23c-44ea-a8d8-1f80a7d294b4,bed2f070-2299-4ba2-aaf8-e0814575c541,admin,2026-06-16T03:17:00Z,system,2026-06-16T03:17:00Z,jkim
aa702053-a6fd-47d0-8b88-f3a9a227a9e0,GR-5025,d1ad6c70-7222-40c2-ba5a-f0485ac898d7,a027b987-01e1-4b1e-a380-1b24e693f738,p.rossi,2026-08-26T20:44:00Z,lchen,2026-08-26T20:44:00Z,lchen
8d253a96-9da9-47a8-ae96-b9586c3ad546,GR-5026,d1ad6c70-7222-40c2-ba5a-f0485ac898d7,c0e22fb4-3407-4048-acc6-865053730c6c,mgarcia,2026-06-14T01:24:00Z,system,2026-06-14T01:24:00Z,system
357831e7-4973-47a1-923d-65d23d7710c8,GR-5027,e8b8b2f2-b362-4f30-b254-e84ea1eaff47,e69805a1-5c4e-4512-8c7a-f4c98fc43ced,mgarcia,2026-05-21T02:23:00Z,jkim,2026-05-21T02:23:00Z,system
9f610d62-cc34-4597-aeed-02e384780f65,GR-5028,87fb4a6f-4adb-4b28-afe6-1d548d79e1c3,cfb0ec19-feb6-4d4d-aa15-6bae1beb5c44,admin,2026-08-14T14:34:00Z,p.rossi,2026-08-14T14:34:00Z,asharma
da793c6a-e862-4da8-9931-b9c65372c942,GR-5029,c6e043b5-e93a-48a0-8903-55f53df918f5,bc95eabc-2f70-4d11-852f-fe993c45d29e,lchen,2026-07-14T14:39:00Z,system,2026-07-14T14:39:00Z,mgarcia
f18a2a86-35aa-4c3b-8769-24ec05cfbc9e,GR-5030,19f12a9d-81c2-4e8b-a6a0-74af4cd0c292,f865d5fb-7c80-46a8-9a28-cabbfa502eaa,jkim,2026-06-28T20:32:00Z,mgarcia,2026-06-28T20:32:00Z,jkim
550bbcc7-6bea-4f66-9cbf-abcfb9846191,GR-5031,2112318d-e19b-443e-9d1b-d89a76c51e51,bed2f070-2299-4ba2-aaf8-e0814575c541,p.rossi,2026-05-16T01:53:00Z,jkim,2026-05-16T01:53:00Z,p.rossi
061c131e-da1a-4896-9530-bf7030ef87de,GR-5032,ce822ce6-9bb1-4be9-a015-4eb08b001ac9,fe17044a-0a91-4c99-9628-c7c2c76f5905,asharma,2026-05-17T18:01:00Z,lchen,2026-05-17T18:01:00Z,asharma
d6ab337f-6e7b-43ae-be5d-632abb6899d8,GR-5033,c6e043b5-e93a-48a0-8903-55f53df918f5,8cfe33b7-74d9-4457-a2c0-bd0fc0a85c49,admin,2026-07-16T06:33:00Z,system,2026-07-16T06:33:00Z,p.rossi
6e3b283d-cb1d-422d-9133-18e54d093e59,GR-5034,ef212030-ae58-4580-a9fa-7c4a4bfdb84e,0ad37519-64dd-417b-a533-120bd1a69b6d,jkim,2026-08-04T18:20:00Z,p.rossi,2026-08-04T18:20:00Z,lchen
022fe685-8284-4b7b-ac87-6d8b2e02c334,GR-5035,3b21cacf-f1b5-4b69-bf8d-dcf2e49e7a9d,00cd03b3-6d69-4191-afdc-1ec2d368ab67,system,2026-05-06T17:32:00Z,jkim,2026-05-06T17:32:00Z,p.rossi
12858c74-0747-4ae4-84cc-9e2186cbbd2e,GR-5036,cbd770ac-25e0-4493-83c2-03dba99ffbb7,322c1e37-016e-43cb-bd18-5b1321d9c55a,jkim,2026-07-31T17:43:00Z,admin,2026-07-31T17:43:00Z,admin
a4a58a3c-b261-4441-bb96-535fd7b9107e,GR-5037,c231d5be-f190-4aaa-8a97-b91792b570c3,60460ed3-b012-49a2-8d26-bd7a6d487ca6,system,2026-06-20T18:37:00Z,jkim,2026-06-20T18:37:00Z,mgarcia
0d32f940-77b9-4876-8118-03dc9edb149b,GR-5038,c231d5be-f190-4aaa-8a97-b91792b570c3,2007bcd8-2427-419a-b2d1-c4e296ae698e,system,2026-06-03T08:27:00Z,lchen,2026-06-03T08:27:00Z,system
8c006649-44ba-46b1-9d3e-45168410c624,GR-5039,69febdb9-d45e-4995-9f61-c7b1adaf6888,29ffcb7b-db6d-4792-839d-227cb9cf340e,lchen,2026-06-13T20:38:00Z,asharma,2026-06-13T20:38:00Z,admin
