ID,partNumber,description,category,uom,unitPrice,reorderLevel,safetyStock,isActive,preferredSupplier_ID,createdAt,createdBy,modifiedAt,modifiedBy
b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,MB-WJ-32931,Suspension Despite Module,Engine,M,111.96,7,16,true,9045530a-97c5-42e6-9139-eed7f7a73da5,2026-03-29T16:37:00Z,p.rossi,2026-03-29T16:37:00Z,admin
7bc17843-0f25-49d9-9eb2-9afe1b5030c2,MB-YM-93352,Engine Able Pump,Body,L,409.51,26,33,true,ac358f4d-c1e8-48a9-b789-fc94923fe6a9,2025-08-07T08:54:00Z,admin,2025-08-07T08:54:00Z,system
bd2c74bd-cc0f-4112-8fa2-101d5e36febc,MB-ZL-42284,Cooling Break Assembly,Engine,SET,131.07,41,48,true,3c938eee-4d04-49ea-abfd-0e10847817e2,2026-06-30T21:35:00Z,jkim,2026-06-30T21:35:00Z,lchen
ef511182-ecb5-4fb6-a75f-0ce934048e21,MB-LU-02053,Electrical Admit Bracket,Filter,L,772.69,24,85,false,50ea1592-2fcd-44f1-8676-b273912807cf,2025-08-01T10:22:00Z,lchen,2025-08-01T10:22:00Z,lchen
753ba143-fcb4-4ad5-aaac-4c560ce33ebe,MB-HH-24026,Brake Skill Bracket,Electrical,SET,228.63,10,30,true,e2b1dd94-f7d8-42ce-af93-925c8feba175,2026-07-28T04:13:00Z,lchen,2026-07-28T04:13:00Z,jkim
897f070f-bc4f-4fae-bc2b-24e77704addb,MB-LG-17758,Cooling Live Gasket,Cooling,KG,32.58,23,100,true,722e546b-9611-4830-b2b3-ec65893244e3,2026-06-08T23:34:00Z,jkim,2026-06-08T23:34:00Z,p.rossi
0a3030a0-4d5e-48ff-9181-ea3dcc1e7218,MB-TD-83908,Electrical Question Sensor,Brake,M,194.96,14,44,true,ee79cfe1-6853-471f-9026-494eaee1c844,2026-04-30T15:10:00Z,jkim,2026-04-30T15:10:00Z,asharma
bc9bf8d8-a6f5-4994-9916-059e119d502a,MB-RG-00766,Body Military Sensor,Brake,L,586.93,49,61,true,b86d5e19-6240-425f-aee8-61d8eb375a13,2026-03-23T04:13:00Z,lchen,2026-03-23T04:13:00Z,system
c18e95af-f516-490d-bd1c-54c53ace05f2,MB-JE-71159,Engine Card Sensor,Transmission,M,216.56,10,39,true,3fc4d712-3286-4e10-977c-b2e980dc105c,2026-01-15T21:22:00Z,lchen,2026-01-15T21:22:00Z,jkim
695ef300-0aae-4153-9d16-3f0b9157b4f9,MB-YM-49985,Cooling Nice Module,Suspension,M,373.32,36,21,false,0ee4a7b6-42bc-4a6e-ac4a-625c47299de4,2025-08-02T18:30:00Z,system,2025-08-02T18:30:00Z,mgarcia
efd0389e-7297-4b7b-bf52-5c8fb100928b,MB-GY-47896,Suspension Science Module,Filter,L,248.54,30,80,true,722e546b-9611-4830-b2b3-ec65893244e3,2026-03-16T02:54:00Z,jkim,2026-03-16T02:54:00Z,mgarcia
a752a8cb-1a42-448e-9f41-11467a428069,MB-OA-18367,Filter Group Bracket,Engine,M,395.37,8,34,true,a3907809-5a5c-4477-8d32-ef9ec1a3e846,2026-04-20T13:53:00Z,admin,2026-04-20T13:53:00Z,system
13305991-e380-4e25-81ec-5e7f956f046d,MB-BU-76615,Engine Reduce Kit,Body,M,115.71,23,66,false,385a8512-38b6-4ab4-a4f7-cb03aaee4395,2025-10-11T09:12:00Z,jkim,2025-10-11T09:12:00Z,p.rossi
89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,MB-FF-45271,Suspension Better Module,Engine,M,349.75,19,24,false,385a8512-38b6-4ab4-a4f7-cb03aaee4395,2025-10-20T16:15:00Z,p.rossi,2025-10-20T16:15:00Z,admin
8458ecb9-6dde-4a49-a9cf-6d7391e3bf03,MB-DL-61528,Body Or Pump,Body,L,710.34,35,41,false,a26c70af-fbb2-48d4-bdc8-4b00fe1115f7,2026-06-10T08:01:00Z,asharma,2026-06-10T08:01:00Z,system
0946819a-9285-487f-8ae5-4e23616154b8,MB-QW-85165,Suspension Land Bracket,Brake,KG,657.91,31,53,true,278466be-99b9-4678-abf4-091d5e0a8c64,2026-05-22T04:28:00Z,mgarcia,2026-05-22T04:28:00Z,p.rossi
b8ad8d43-3dea-496b-afb9-7724716b30f1,MB-GK-04945,Cooling Movement Bracket,Suspension,L,460.1,27,52,false,722e546b-9611-4830-b2b3-ec65893244e3,2026-03-28T05:23:00Z,mgarcia,2026-03-28T05:23:00Z,admin
de2c8387-ceea-4b72-aeb5-79833a9bff72,MB-WJ-32731,Filter Hold Kit,Filter,EA,273.86,35,100,false,91032cb1-90c3-470b-9120-c759b733f6ec,2026-05-23T01:45:00Z,p.rossi,2026-05-23T01:45:00Z,admin
093912cf-ab6c-460d-ac4f-9fc1d34892ae,MB-JX-14936,Engine Tell Kit,Transmission,EA,743.69,33,22,false,278466be-99b9-4678-abf4-091d5e0a8c64,2025-09-28T19:29:00Z,p.rossi,2025-09-28T19:29:00Z,asharma
35087f29-0497-45f7-a397-61ca16ef1319,MB-QS-99809,Brake Example Sensor,Body,KG,531.65,30,93,true,9fafa317-5a69-43c2-8872-ab9097df317f,2026-01-30T03:51:00Z,admin,2026-01-30T03:51:00Z,p.rossi
051dae6d-d352-4b01-ab2c-d08df04ebfc6,MB-WA-02445,Cooling Course Bracket,Engine,M,62.82,45,97,true,f5d93936-4e0d-479f-b56f-ec77e0b45c64,2025-11-27T11:40:00Z,p.rossi,2025-11-27T11:40:00Z,jkim
25431261-a66a-47d4-a04a-d39cf259d212,MB-VO-29612,Brake Allow Sensor,Suspension,KG,768.39,7,51,true,cda73d18-4ab0-481c-934b-44f568638a75,2026-01-17T20:12:00Z,mgarcia,2026-01-17T20:12:00Z,mgarcia
6263f51e-ad28-43b5-8893-45ebd945c089,MB-DV-18366,Filter Coach Pump,Suspension,SET,152.93,44,58,true,8304f98c-97a4-453e-88c1-4e89b40d9b34,2026-01-19T19:45:00Z,lchen,2026-01-19T19:45:00Z,asharma
e8a0cd7e-4ae2-41f2-a138-5626f31bc4df,MB-FD-54599,Body Clearly Sensor,Body,EA,764.58,34,46,true,ee79cfe1-6853-471f-9026-494eaee1c844,2026-05-01T09:20:00Z,system,2026-05-01T09:20:00Z,mgarcia
438aaddc-15d3-44ed-a047-97d9fba54bd6,MB-CQ-29014,Filter Language Gasket,Body,L,719.28,17,59,false,e0fcded3-577c-436d-908c-5dbb9210b941,2025-10-31T14:20:00Z,asharma,2025-10-31T14:20:00Z,system
534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,MB-NW-79764,Body Music Gasket,Body,EA,831.36,47,60,true,278466be-99b9-4678-abf4-091d5e0a8c64,2025-11-08T12:24:00Z,lchen,2025-11-08T12:24:00Z,admin
457f426f-13c2-48a4-ac7c-793a651b6225,MB-RR-15614,Cooling Personal Bracket,Body,SET,517.97,27,38,true,a3907809-5a5c-4477-8d32-ef9ec1a3e846,2025-09-10T00:57:00Z,mgarcia,2025-09-10T00:57:00Z,p.rossi
debc1375-1aa5-420b-b921-84e3a43ca39c,MB-ZM-78403,Suspension Around Gasket,Brake,EA,266.05,33,14,true,9045530a-97c5-42e6-9139-eed7f7a73da5,2025-08-06T00:11:00Z,jkim,2025-08-06T00:11:00Z,mgarcia
390632f6-1a4d-4528-9454-11af6a78fb67,MB-WQ-03432,Suspension Figure Kit,Suspension,M,745.61,28,77,true,c26a7127-44ca-4be6-8261-dd85850002c6,2026-03-13T00:34:00Z,mgarcia,2026-03-13T00:34:00Z,admin
74be4fc7-6bdb-4dbb-b4f6-9e8fe5fceb29,MB-LI-51076,Transmission Husband Bracket,Brake,L,818.64,14,38,false,a26c70af-fbb2-48d4-bdc8-4b00fe1115f7,2025-12-24T14:13:00Z,mgarcia,2025-12-24T14:13:00Z,jkim
