ID,pr_ID,part_ID,requiredQty,supplier_ID,estimatedPrice
0f2475bc-35ab-4b01-be9d-4b193d000857,7959623a-82c6-4d7a-b08c-008fd4e5f8b7,457f426f-13c2-48a4-ac7c-793a651b6225,223,a3907809-5a5c-4477-8d32-ef9ec1a3e846,544.95
40fda541-f2ff-4936-80e0-4c3dea6398a1,27f09715-477d-4662-98d4-4ddf78500573,438aaddc-15d3-44ed-a047-97d9fba54bd6,158,50ea1592-2fcd-44f1-8676-b273912807cf,413.09
8a1aa9f3-6202-48e8-95d0-4f3c559e434b,e78fcd0f-fd2b-46b9-8496-c4873bb63be5,695ef300-0aae-4153-9d16-3f0b9157b4f9,242,ee79cfe1-6853-471f-9026-494eaee1c844,586.88
4837faed-941b-4fe8-8097-0f9720443b74,9dcb667d-c31e-47b1-b144-3e09e5afe3ed,093912cf-ab6c-460d-ac4f-9fc1d34892ae,222,a5b2f72d-9e5b-4601-b872-1fd43fe1d402,397.45
bb814089-2514-426c-8826-66c348ba88bd,2fe51375-3efa-4ca8-bfd7-09f7c3fc8e57,390632f6-1a4d-4528-9454-11af6a78fb67,83,84451c87-7b31-4f0c-96fa-bc23b43d7458,732.95
bd9a5d3a-5231-43ee-9313-15879094129e,356fcfc5-6827-4581-b605-b31ff918672a,13305991-e380-4e25-81ec-5e7f956f046d,214,9045530a-97c5-42e6-9139-eed7f7a73da5,647.76
deea9639-b613-4aa1-aa65-f84b4507bcd7,6d0957fc-d27a-49fe-8cf8-2894ba9aa7ea,534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,64,84451c87-7b31-4f0c-96fa-bc23b43d7458,209.27
e916709d-0a5c-42ad-b91b-c923a1876576,550cf5f5-e7ce-41f6-a5cf-3dcc4ebb7598,bc9bf8d8-a6f5-4994-9916-059e119d502a,240,3c938eee-4d04-49ea-abfd-0e10847817e2,124.04
69f6ed15-0030-4740-97c8-9f2435d25f5f,846f7dce-2795-4fba-bc47-ef5130a59037,c18e95af-f516-490d-bd1c-54c53ace05f2,206,a3907809-5a5c-4477-8d32-ef9ec1a3e846,358.32
ce0cb8c4-020d-4116-a8e3-575a7635e812,9dcb667d-c31e-47b1-b144-3e09e5afe3ed,efd0389e-7297-4b7b-bf52-5c8fb100928b,170,cd414ac6-9003-4640-a82c-be0a40a4e4f8,649.84
b93361ab-8322-4c7a-835d-bc52627d4314,27f09715-477d-4662-98d4-4ddf78500573,6263f51e-ad28-43b5-8893-45ebd945c089,249,8304f98c-97a4-453e-88c1-4e89b40d9b34,747.82
b4101aae-33e2-44b0-9360-ee7e65395e90,27f09715-477d-4662-98d4-4ddf78500573,315e2d57-5f6e-46c7-9b91-0cc9a8e00211,56,2d8d45ab-3403-4be5-8a0e-cb6eb36975e0,432.1
5ff0cc4f-3516-4853-93d9-6554844120c2,4742bfab-28fc-4acd-b4ff-bea856b3c878,ef511182-ecb5-4fb6-a75f-0ce934048e21,190,0377357c-978a-4046-a7d2-c6fd39745a1c,47.71
9edfc142-7054-4ff6-bd9c-6ee8940b93ff,27f09715-477d-4662-98d4-4ddf78500573,390632f6-1a4d-4528-9454-11af6a78fb67,250,cda73d18-4ab0-481c-934b-44f568638a75,458.5
455e6cc3-4987-4026-87f6-f3c58855ecda,ab4f7e49-69b2-4aa0-aba1-b1494a02f2d2,de2c8387-ceea-4b72-aeb5-79833a9bff72,78,ac358f4d-c1e8-48a9-b789-fc94923fe6a9,619.74
cdf04c7e-fc4b-40ce-ac59-e18da407885c,e78fcd0f-fd2b-46b9-8496-c4873bb63be5,89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,33,2d8d45ab-3403-4be5-8a0e-cb6eb36975e0,48.23
0d43afa6-dd31-4629-b1c2-f66183ab2fdb,8754985e-cef1-4fe3-9a70-39ca77f1e016,bd2c74bd-cc0f-4112-8fa2-101d5e36febc,195,a26c70af-fbb2-48d4-bdc8-4b00fe1115f7,248.87
cc9532c9-858e-4641-a7e2-0f0f06e534a2,8f458511-ad52-461f-ab10-c44d7a45e90d,6263f51e-ad28-43b5-8893-45ebd945c089,240,a26c70af-fbb2-48d4-bdc8-4b00fe1115f7,241.36
4f53ae89-da99-4264-a78e-e8a2d668b256,acb1a31c-a1f5-41a7-9006-bca4295eeebb,74be4fc7-6bdb-4dbb-b4f6-9e8fe5fceb29,70,9045530a-97c5-42e6-9139-eed7f7a73da5,828.94
aa664eaf-8d5c-4f4b-b0f6-6524d8e5133a,e78fcd0f-fd2b-46b9-8496-c4873bb63be5,89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,183,a26c70af-fbb2-48d4-bdc8-4b00fe1115f7,798.41
e66f2ef8-4dfd-4eeb-9969-3214604e4cb7,1f0f1faa-6089-4269-8d15-887744298768,bd2c74bd-cc0f-4112-8fa2-101d5e36febc,270,2d8d45ab-3403-4be5-8a0e-cb6eb36975e0,427.57
558128f0-7a8c-4c85-bad6-ff00fd0887f0,742db870-603d-40c5-87ff-56cfacab764b,97982bf8-f2bd-4c95-93b7-32dd79324367,80,9fafa317-5a69-43c2-8872-ab9097df317f,684.35
67cf6ac3-3b08-4cab-b3a2-fe3533c71721,821051f9-c46f-44cc-bb24-72da08b6c485,35087f29-0497-45f7-a397-61ca16ef1319,86,321c16a1-8886-4dbe-880a-ea1bad755750,759.7
3f117edc-8c78-4994-9d3e-ee1a767bf2dc,4e9ab03c-ae10-4d5c-a6d1-91a43aace324,efd0389e-7297-4b7b-bf52-5c8fb100928b,173,c26a7127-44ca-4be6-8261-dd85850002c6,337.05
7714f825-c927-4358-8c0f-52013bbfb403,acb1a31c-a1f5-41a7-9006-bca4295eeebb,695ef300-0aae-4153-9d16-3f0b9157b4f9,182,b86d5e19-6240-425f-aee8-61d8eb375a13,704.9
c8c1b62d-0899-46f1-9c35-ec41e37e6cf9,55a538d3-a211-4bac-ba68-ec89c729a107,25431261-a66a-47d4-a04a-d39cf259d212,298,50ea1592-2fcd-44f1-8676-b273912807cf,406.28
c559a7f3-f856-4193-9a2c-61ad009bb714,63496536-4a17-4733-9d7c-1459e8466668,89b46b97-cd1d-4acd-bbc4-e1dc8ec7e2e2,179,385a8512-38b6-4ab4-a4f7-cb03aaee4395,833.01
c279a235-a09b-494e-a30a-165aaf35e763,0f0140d6-c0bb-4efa-8fd4-4127cfe1c2db,695ef300-0aae-4153-9d16-3f0b9157b4f9,23,321c16a1-8886-4dbe-880a-ea1bad755750,406.03
e4a48817-a6ae-42b9-ab01-16f9841c8af7,0f0140d6-c0bb-4efa-8fd4-4127cfe1c2db,457f426f-13c2-48a4-ac7c-793a651b6225,126,0377357c-978a-4046-a7d2-c6fd39745a1c,498.08
dcf61c70-63b6-4f70-9ac7-3474ca4c5e52,9dcb667d-c31e-47b1-b144-3e09e5afe3ed,e8a0cd7e-4ae2-41f2-a138-5626f31bc4df,204,572f29ae-1ec4-4f46-8275-02c314223a70,699.3
