ID,prNumber,location_ID,status,requestedBy,approvedBy,approvedAt,rejectionReason,createdAt,createdBy,modifiedAt,modifiedBy
9dcb667d-c31e-47b1-b144-3e09e5afe3ed,PR-3010,4576857b-c5ee-4fe7-9ba9-832e5145de67,PENDING_APPROVAL,jkim,,,,2026-03-14T13:10:00Z,mgarcia,2026-03-14T13:10:00Z,admin
cd5c6843-12e7-483e-bcb6-488fdc6e3785,PR-3011,004296f6-f720-49bf-9ec4-28edc4a82da7,PENDING_APPROVAL,system,,,,2026-04-29T01:07:00Z,lchen,2026-04-29T01:07:00Z,jkim
63b4af4e-8e32-42cb-aee4-72a92e27cfb8,PR-3012,e69805a1-5c4e-4512-8c7a-f4c98fc43ced,PENDING_APPROVAL,lchen,,,,2026-08-07T23:44:00Z,p.rossi,2026-08-07T23:44:00Z,lchen
7959623a-82c6-4d7a-b08c-008fd4e5f8b7,PR-3013,759c807f-812b-496b-ae95-f989c539d42f,APPROVED,asharma,system,2026-06-28T14:53:00Z,,2026-04-14T10:53:00Z,p.rossi,2026-04-14T10:53:00Z,admin
be8b50a6-6787-459a-a3a8-a13e0686790b,PR-3014,3a112cd1-76d9-4807-b433-bceb77a60ad0,DRAFT,lchen,,,,2026-03-21T09:56:00Z,lchen,2026-03-21T09:56:00Z,jkim
4742bfab-28fc-4acd-b4ff-bea856b3c878,PR-3015,e69805a1-5c4e-4512-8c7a-f4c98fc43ced,PENDING_APPROVAL,mgarcia,,,,2026-03-19T07:24:00Z,system,2026-03-19T07:24:00Z,jkim
b8fe19cf-d94a-41c4-a667-ba25b3b84671,PR-3016,eb366403-27af-4380-9d74-800a53ab8081,CLOSED,lchen,mgarcia,2026-05-13T18:18:00Z,,2026-03-23T12:45:00Z,jkim,2026-03-23T12:45:00Z,lchen
df190225-f23f-4b74-b247-d28a77b1755c,PR-3017,004296f6-f720-49bf-9ec4-28edc4a82da7,CLOSED,jkim,p.rossi,2026-04-08T23:36:00Z,,2026-04-10T07:10:00Z,system,2026-04-10T07:10:00Z,mgarcia
545452e5-8d67-4b92-89d5-435328b14d8f,PR-3018,aee88716-e254-467c-922e-71ac3778bde9,APPROVED,admin,lchen,2026-08-10T12:45:00Z,,2026-06-24T00:59:00Z,p.rossi,2026-06-24T00:59:00Z,admin
795049b1-e9c9-4e78-a029-7d79c628ccd4,PR-3019,59f6362e-b2c8-4821-a0b0-b9a096049ab2,APPROVED,admin,admin,2026-04-10T13:08:00Z,,2026-06-03T19:58:00Z,p.rossi,2026-06-03T19:58:00Z,system
356fcfc5-6827-4581-b605-b31ff918672a,PR-3020,4576857b-c5ee-4fe7-9ba9-832e5145de67,PENDING_APPROVAL,jkim,,,,2026-03-02T08:20:00Z,p.rossi,2026-03-02T08:20:00Z,admin
2fe51375-3efa-4ca8-bfd7-09f7c3fc8e57,PR-3021,9c009766-f0d1-4133-8643-8736c78c3b1a,PENDING_APPROVAL,admin,,,,2026-05-02T22:42:00Z,asharma,2026-05-02T22:42:00Z,jkim
04bb205d-240a-47a8-ac9a-00ea411e0376,PR-3022,3a43ca38-6b24-43ed-a264-c0a776a50297,REJECTED,system,mgarcia,,Of remember individual boy again foot.,2026-06-08T14:28:00Z,jkim,2026-06-08T14:28:00Z,admin
2009ed2a-da50-4f78-80dc-695b155c68a7,PR-3023,bfd240ca-32ba-4623-b26b-0c1f40b9196f,APPROVED,jkim,admin,2026-08-15T03:39:00Z,,2026-03-15T17:42:00Z,mgarcia,2026-03-15T17:42:00Z,system
8f458511-ad52-461f-ab10-c44d7a45e90d,PR-3024,bed2f070-2299-4ba2-aaf8-e0814575c541,REJECTED,asharma,system,,Least ready gun join black job hundred bad.,2026-05-17T00:32:00Z,p.rossi,2026-05-17T00:32:00Z,system
e78fcd0f-fd2b-46b9-8496-c4873bb63be5,PR-3025,00cd03b3-6d69-4191-afdc-1ec2d368ab67,DRAFT,jkim,,,,2026-05-25T07:43:00Z,system,2026-05-25T07:43:00Z,lchen
a3ba1c52-783d-4c8c-8ecd-fe63a5ee4277,PR-3026,19dae37a-da1c-418a-9f78-2ce52348d8ca,APPROVED,mgarcia,system,2026-08-01T21:40:00Z,,2026-07-12T06:42:00Z,lchen,2026-07-12T06:42:00Z,p.rossi
7b1160f8-2000-48d0-b37a-7f8b9d2fdec9,PR-3027,e0944a13-78fc-47e7-997b-ca9b53044bc6,REJECTED,system,jkim,,Second develop single baby plan.,2026-05-10T18:16:00Z,p.rossi,2026-05-10T18:16:00Z,admin
97a8347f-19d9-4f2e-8201-d84f33f03691,PR-3028,0ad37519-64dd-417b-a533-120bd1a69b6d,APPROVED,mgarcia,lchen,2026-08-13T21:18:00Z,,2026-05-29T04:33:00Z,admin,2026-05-29T04:33:00Z,p.rossi
47cb59db-2c4c-46ff-8b2d-dd9624e85ea2,PR-3029,2007bcd8-2427-419a-b2d1-c4e296ae698e,PENDING_APPROVAL,p.rossi,,,,2026-03-07T18:59:00Z,admin,2026-03-07T18:59:00Z,system
a0182085-f3ac-4925-9b7b-b305c1c3d86e,PR-3030,51a89c75-4ec8-4de9-a1dd-2d371acf279f,PENDING_APPROVAL,mgarcia,,,,2026-08-19T19:56:00Z,system,2026-08-19T19:56:00Z,lchen
27f09715-477d-4662-98d4-4ddf78500573,PR-3031,51a89c75-4ec8-4de9-a1dd-2d371acf279f,REJECTED,mgarcia,system,,Member town glass road standard spring door.,2026-08-19T04:51:00Z,admin,2026-08-19T04:51:00Z,jkim
6d0957fc-d27a-49fe-8cf8-2894ba9aa7ea,PR-3032,bfd240ca-32ba-4623-b26b-0c1f40b9196f,APPROVED,asharma,jkim,2026-05-18T13:19:00Z,,2026-04-03T19:27:00Z,jkim,2026-04-03T19:27:00Z,p.rossi
821051f9-c46f-44cc-bb24-72da08b6c485,PR-3033,9700af2f-cafa-4d98-9f40-e1f13151b649,REJECTED,jkim,mgarcia,,Eight community check service.,2026-07-11T08:27:00Z,admin,2026-07-11T08:27:00Z,mgarcia
55a538d3-a211-4bac-ba68-ec89c729a107,PR-3034,3a112cd1-76d9-4807-b433-bceb77a60ad0,CLOSED,asharma,jkim,2026-06-15T01:02:00Z,,2026-02-28T09:47:00Z,asharma,2026-02-28T09:47:00Z,admin
8754985e-cef1-4fe3-9a70-39ca77f1e016,PR-3035,eb366403-27af-4380-9d74-800a53ab8081,REJECTED,admin,p.rossi,,Concern significant management senior.,2026-08-09T09:49:00Z,admin,2026-08-09T09:49:00Z,mgarcia
2fcdace0-fde8-4784-8ced-0519a85f8975,PR-3036,9700af2f-cafa-4d98-9f40-e1f13151b649,DRAFT,lchen,,,,2026-03-10T12:15:00Z,mgarcia,2026-03-10T12:15:00Z,mgarcia
0f0140d6-c0bb-4efa-8fd4-4127cfe1c2db,PR-3037,51a89c75-4ec8-4de9-a1dd-2d371acf279f,PENDING_APPROVAL,lchen,,,,2026-07-18T01:15:00Z,asharma,2026-07-18T01:15:00Z,jkim
0bb3aeaa-3231-4ce6-8544-be87f891529b,PR-3038,621dd3fb-a220-43f8-8817-cb2361ee66f3,REJECTED,mgarcia,lchen,,Large under north play person ten physical character.,2026-07-07T19:45:00Z,lchen,2026-07-07T19:45:00Z,mgarcia
acb1a31c-a1f5-41a7-9006-bca4295eeebb,PR-3039,0ad37519-64dd-417b-a533-120bd1a69b6d,CLOSED,p.rossi,p.rossi,2026-08-05T21:41:00Z,,2026-04-30T06:52:00Z,system,2026-04-30T06:52:00Z,lchen
