ID,poNumber,supplier_ID,pr_ID,status,s4POId,createdAt,createdBy,modifiedAt,modifiedBy
ce822ce6-9bb1-4be9-a015-4eb08b001ac9,PO-4015,9045530a-97c5-42e6-9139-eed7f7a73da5,6d0957fc-d27a-49fe-8cf8-2894ba9aa7ea,CANCELLED,4546619573,2026-04-15T08:04:00Z,asharma,2026-04-15T08:04:00Z,admin
daaf1524-56d9-4335-9b46-494a899f17c3,PO-4016,722e546b-9611-4830-b2b3-ec65893244e3,b8fe19cf-d94a-41c4-a667-ba25b3b84671,PARTIALLY_RECEIVED,4511890348,2026-07-30T13:50:00Z,p.rossi,2026-07-30T13:50:00Z,mgarcia
b1229960-1f53-448f-b361-459cab043f68,PO-4017,cd414ac6-9003-4640-a82c-be0a40a4e4f8,cd5c6843-12e7-483e-bcb6-488fdc6e3785,SENT_TO_S4,4595728324,2026-06-13T05:17:00Z,system,2026-06-13T05:17:00Z,admin
bb55ad0d-6743-45f7-ac27-22e39ba62971,PO-4018,43e41a8e-3152-44d1-833f-5747298c3d11,e78fcd0f-fd2b-46b9-8496-c4873bb63be5,OPEN,4534800912,2026-05-10T07:40:00Z,asharma,2026-05-10T07:40:00Z,system
44f34bb9-a010-40b3-9186-848b9a57cfb2,PO-4019,ac358f4d-c1e8-48a9-b789-fc94923fe6a9,8f458511-ad52-461f-ab10-c44d7a45e90d,PARTIALLY_RECEIVED,4569959826,2026-06-06T17:00:00Z,admin,2026-06-06T17:00:00Z,mgarcia
c231d5be-f190-4aaa-8a97-b91792b570c3,PO-4020,5ac75889-b6ed-468a-acb9-66e94b80d4e5,d01d5517-b5c0-4527-ab01-98b5fc39150b,RECEIVED,4597735896,2026-06-04T14:23:00Z,mgarcia,2026-06-04T14:23:00Z,p.rossi
02c364f0-4626-4755-89d9-e6f3831f9646,PO-4021,385a8512-38b6-4ab4-a4f7-cb03aaee4395,47cb59db-2c4c-46ff-8b2d-dd9624e85ea2,RECEIVED,4531436829,2026-06-28T22:18:00Z,system,2026-06-28T22:18:00Z,p.rossi
69febdb9-d45e-4995-9f61-c7b1adaf6888,PO-4022,50ea1592-2fcd-44f1-8676-b273912807cf,550cf5f5-e7ce-41f6-a5cf-3dcc4ebb7598,RECEIVED,4559330907,2026-04-21T01:11:00Z,lchen,2026-04-21T01:11:00Z,asharma
28064021-ca4e-4b94-9283-7f621e06ec39,PO-4023,572f29ae-1ec4-4f46-8275-02c314223a70,47cb59db-2c4c-46ff-8b2d-dd9624e85ea2,SENT_TO_S4,4560147077,2026-07-02T19:30:00Z,system,2026-07-02T19:30:00Z,p.rossi
89dc2d99-1f53-43f0-a2b9-2f0df5283782,PO-4024,48c1838e-0ef1-4a4c-a31e-bca7b747bb66,7959623a-82c6-4d7a-b08c-008fd4e5f8b7,PARTIALLY_RECEIVED,4589968863,2026-04-09T08:12:00Z,admin,2026-04-09T08:12:00Z,admin
44db05eb-a23c-44ea-a8d8-1f80a7d294b4,PO-4025,0a983753-985a-40a3-b68d-f473068521a0,2009ed2a-da50-4f78-80dc-695b155c68a7,OPEN,4585721444,2026-08-07T07:32:00Z,jkim,2026-08-07T07:32:00Z,jkim
edf47651-c783-4f93-895a-80edcd722ed4,PO-4026,5ac75889-b6ed-468a-acb9-66e94b80d4e5,55a538d3-a211-4bac-ba68-ec89c729a107,PARTIALLY_RECEIVED,4532083803,2026-04-09T07:48:00Z,mgarcia,2026-04-09T07:48:00Z,admin
ef212030-ae58-4580-a9fa-7c4a4bfdb84e,PO-4027,805a5e4c-32c9-4678-8928-59f2503b8b59,0f0140d6-c0bb-4efa-8fd4-4127cfe1c2db,CANCELLED,4522205980,2026-04-16T09:53:00Z,lchen,2026-04-16T09:53:00Z,system
19f12a9d-81c2-4e8b-a6a0-74af4cd0c292,PO-4028,b86d5e19-6240-425f-aee8-61d8eb375a13,a3ba1c52-783d-4c8c-8ecd-fe63a5ee4277,CANCELLED,4585686878,2026-08-13T09:52:00Z,jkim,2026-08-13T09:52:00Z,lchen
c6e043b5-e93a-48a0-8903-55f53df918f5,PO-4029,50ea1592-2fcd-44f1-8676-b273912807cf,63496536-4a17-4733-9d7c-1459e8466668,CANCELLED,4544152669,2026-05-01T02:09:00Z,admin,2026-05-01T02:09:00Z,jkim
5cf2133b-5717-44eb-882c-469989c269f1,PO-4030,64f7a6f7-ce7c-4e7d-b04e-d6bac07269a1,7b1160f8-2000-48d0-b37a-7f8b9d2fdec9,RECEIVED,4518557710,2026-07-03T05:56:00Z,lchen,2026-07-03T05:56:00Z,jkim
9e07c257-c6d4-48e1-a576-f4caab27b513,PO-4031,cda73d18-4ab0-481c-934b-44f568638a75,a3ba1c52-783d-4c8c-8ecd-fe63a5ee4277,PARTIALLY_RECEIVED,4528176954,2026-08-10T08:58:00Z,admin,2026-08-10T08:58:00Z,p.rossi
e8b8b2f2-b362-4f30-b254-e84ea1eaff47,PO-4032,91032cb1-90c3-470b-9120-c759b733f6ec,97a8347f-19d9-4f2e-8201-d84f33f03691,CANCELLED,4560418290,2026-05-12T12:03:00Z,jkim,2026-05-12T12:03:00Z,p.rossi
77ce02d8-953b-4a75-9a2c-2f6c3a317f80,PO-4033,0ee4a7b6-42bc-4a6e-ac4a-625c47299de4,550cf5f5-e7ce-41f6-a5cf-3dcc4ebb7598,PARTIALLY_RECEIVED,4582109613,2026-04-11T19:19:00Z,system,2026-04-11T19:19:00Z,lchen
bb384505-0144-47a0-8636-d4366a87f4dc,PO-4034,278466be-99b9-4678-abf4-091d5e0a8c64,63496536-4a17-4733-9d7c-1459e8466668,RECEIVED,4572143331,2026-07-26T00:46:00Z,p.rossi,2026-07-26T00:46:00Z,p.rossi
72ca7572-2da2-4c1a-b236-a6bb52fda669,PO-4035,91032cb1-90c3-470b-9120-c759b733f6ec,be8b50a6-6787-459a-a3a8-a13e0686790b,PARTIALLY_RECEIVED,4571824078,2026-04-10T10:26:00Z,mgarcia,2026-04-10T10:26:00Z,asharma
e03ff519-e128-4c33-8501-1f5ca393affa,PO-4036,385a8512-38b6-4ab4-a4f7-cb03aaee4395,742db870-603d-40c5-87ff-56cfacab764b,CANCELLED,4592533595,2026-06-18T17:01:00Z,admin,2026-06-18T17:01:00Z,jkim
3b21cacf-f1b5-4b69-bf8d-dcf2e49e7a9d,PO-4037,e0fcded3-577c-436d-908c-5dbb9210b941,0bb3aeaa-3231-4ce6-8544-be87f891529b,OPEN,4569920305,2026-06-27T17:56:00Z,lchen,2026-06-27T17:56:00Z,p.rossi
41ec97c3-0c47-45e5-8a87-8e69d036bda9,PO-4038,64f7a6f7-ce7c-4e7d-b04e-d6bac07269a1,e78fcd0f-fd2b-46b9-8496-c4873bb63be5,CANCELLED,4541452485,2026-08-15T16:13:00Z,lchen,2026-08-15T16:13:00Z,asharma
82479f1f-1eef-4108-bef2-02ced8a9e747,PO-4039,cda73d18-4ab0-481c-934b-44f568638a75,be8b50a6-6787-459a-a3a8-a13e0686790b,SENT_TO_S4,4552802529,2026-08-13T19:28:00Z,lchen,2026-08-13T19:28:00Z,lchen
