ID,movementType,part_ID,fromLocation_ID,toLocation_ID,quantity,reference,remarks,status,createdAt,createdBy,modifiedAt,modifiedBy
a125a2f9-9479-4221-b816-9716ed499d57,ADJUSTMENT,f075bd52-f7ab-416e-b691-122e7efe58da,e0944a13-78fc-47e7-997b-ca9b53044bc6,,106,REF-746002,,COMPLETED,2026-05-27T17:20:00Z,jkim,2026-05-27T17:20:00Z,jkim
809c8646-9726-40ab-a9a9-8e131be7a24d,OUTBOUND,13305991-e380-4e25-81ec-5e7f956f046d,cfb0ec19-feb6-4d4d-aa15-6bae1beb5c44,,110,REF-429780,,COMPLETED,2026-06-13T00:36:00Z,mgarcia,2026-06-13T00:36:00Z,p.rossi
c8b591f1-9eb5-4173-8e92-8a46bd51d0f2,INBOUND,390632f6-1a4d-4528-9454-11af6a78fb67,,fe003cc5-d3e7-49d0-a320-d1278a5d8a09,73,REF-916808,,COMPLETED,2026-06-18T04:22:00Z,admin,2026-06-18T04:22:00Z,admin
8d8645aa-9e71-4fcc-ab49-12ff8a68c05b,TRANSFER,0946819a-9285-487f-8ae5-4e23616154b8,bc95eabc-2f70-4d11-852f-fe993c45d29e,fe17044a-0a91-4c99-9628-c7c2c76f5905,76,REF-777558,Medical leg never social time last.,COMPLETED,2026-06-11T07:48:00Z,system,2026-06-11T07:48:00Z,system
0c5f6002-8fbd-4db2-a475-aa168dce67f5,INBOUND,01bcdde8-4496-4eb6-a00f-5285b11dfc91,,fe003cc5-d3e7-49d0-a320-d1278a5d8a09,136,REF-112653,,COMPLETED,2026-06-25T03:22:00Z,asharma,2026-06-25T03:22:00Z,system
6956554b-bfea-4cbf-a146-a00e84c02da3,ADJUSTMENT,051dae6d-d352-4b01-ab2c-d08df04ebfc6,51a89c75-4ec8-4de9-a1dd-2d371acf279f,,198,REF-176537,Prepare focus little character artist billion.,COMPLETED,2026-06-19T02:49:00Z,jkim,2026-06-19T02:49:00Z,mgarcia
9c685a8d-27c2-43b6-a78f-6a1a1e060727,OUTBOUND,c18e95af-f516-490d-bd1c-54c53ace05f2,9c009766-f0d1-4133-8643-8736c78c3b1a,,161,REF-847245,,PENDING,2026-08-20T11:28:00Z,system,2026-08-20T11:28:00Z,p.rossi
8ded2bc9-f9e3-45fa-9bd6-e358a5b9aca4,ADJUSTMENT,74be4fc7-6bdb-4dbb-b4f6-9e8fe5fceb29,eb366403-27af-4380-9d74-800a53ab8081,,40,REF-390946,Word base position always remain.,COMPLETED,2026-06-07T06:26:00Z,lchen,2026-06-07T06:26:00Z,asharma
bfd717b1-42b3-44a1-b31f-602a9a5cc08b,OUTBOUND,01bcdde8-4496-4eb6-a00f-5285b11dfc91,3a43ca38-6b24-43ed-a264-c0a776a50297,,80,REF-832614,,COMPLETED,2026-07-17T11:23:00Z,jkim,2026-07-17T11:23:00Z,asharma
391f836d-37cd-4d8e-bf1f-9e30cba18923,INBOUND,390632f6-1a4d-4528-9454-11af6a78fb67,,00cd03b3-6d69-4191-afdc-1ec2d368ab67,15,REF-424314,,COMPLETED,2026-08-13T09:21:00Z,jkim,2026-08-13T09:21:00Z,jkim
79ab2e43-cb15-4f0c-a258-d9cb45e89d4e,OUTBOUND,e8a0cd7e-4ae2-41f2-a138-5626f31bc4df,dc7812b7-28e8-4668-9c9f-8ad43ab36d53,,133,REF-921021,,COMPLETED,2026-08-07T08:38:00Z,asharma,2026-08-07T08:38:00Z,mgarcia
0d2b4b76-a8dd-41a1-9e1f-8a60b68cef8c,OUTBOUND,315e2d57-5f6e-46c7-9b91-0cc9a8e00211,bfd240ca-32ba-4623-b26b-0c1f40b9196f,,86,REF-946313,,FAILED,2026-05-26T20:11:00Z,jkim,2026-05-26T20:11:00Z,mgarcia
f8b6bd88-da0f-4230-b500-3e6779f8b6a9,INBOUND,355edc4b-7ed7-4d11-b7d2-a0c3dabc64cd,,3a112cd1-76d9-4807-b433-bceb77a60ad0,128,REF-694423,Model particular hair truth hold.,COMPLETED,2026-06-30T07:37:00Z,mgarcia,2026-06-30T07:37:00Z,admin
e6bebd33-dcc9-437b-9b03-20c59f10e073,INBOUND,753ba143-fcb4-4ad5-aaac-4c560ce33ebe,,322c1e37-016e-43cb-bd18-5b1321d9c55a,190,REF-633541,Quickly appear piece free form.,COMPLETED,2026-06-02T00:53:00Z,asharma,2026-06-02T00:53:00Z,jkim
c657ffc0-1699-47e8-bdbe-b43adc15a93a,ADJUSTMENT,97982bf8-f2bd-4c95-93b7-32dd79324367,51a89c75-4ec8-4de9-a1dd-2d371acf279f,,142,REF-942127,,PENDING,2026-07-09T19:49:00Z,asharma,2026-07-09T19:49:00Z,mgarcia
8f514c74-70a4-4eb2-8a89-0b46059b9a36,OUTBOUND,01bcdde8-4496-4eb6-a00f-5285b11dfc91,7420b029-22ee-4015-94d4-fb873fa6ca32,,147,REF-490917,Question exist rich prevent trade their.,COMPLETED,2026-05-27T13:43:00Z,asharma,2026-05-27T13:43:00Z,asharma
f04e969a-e903-47e4-a09a-c834748abfac,INBOUND,c18e95af-f516-490d-bd1c-54c53ace05f2,,0ad37519-64dd-417b-a533-120bd1a69b6d,199,REF-985885,,COMPLETED,2026-08-19T09:05:00Z,lchen,2026-08-19T09:05:00Z,system
30b54fd3-d49b-4a8c-bf37-8cca1b4a3fea,INBOUND,695ef300-0aae-4153-9d16-3f0b9157b4f9,,51a89c75-4ec8-4de9-a1dd-2d371acf279f,190,REF-752966,Bank professional true financial prevent.,COMPLETED,2026-08-02T14:24:00Z,lchen,2026-08-02T14:24:00Z,system
b0b5e82e-07ea-49d1-a376-2754e9da6f86,OUTBOUND,ca839d07-3c3c-4181-812e-fb165d7f847a,3a43ca38-6b24-43ed-a264-c0a776a50297,,105,REF-125071,Can remember be next poor.,COMPLETED,2026-05-22T16:51:00Z,p.rossi,2026-05-22T16:51:00Z,admin
031945c6-7fab-41ce-9dee-64703fdc2d13,INBOUND,695ef300-0aae-4153-9d16-3f0b9157b4f9,,bed2f070-2299-4ba2-aaf8-e0814575c541,27,REF-315161,,COMPLETED,2026-08-27T02:36:00Z,system,2026-08-27T02:36:00Z,system
986b1e43-8407-4df6-b1ef-18277dd08467,INBOUND,97982bf8-f2bd-4c95-93b7-32dd79324367,,e69805a1-5c4e-4512-8c7a-f4c98fc43ced,60,REF-986575,,COMPLETED,2026-05-28T15:55:00Z,system,2026-05-28T15:55:00Z,p.rossi
e0041a5e-8aa8-4da2-9192-e2fb383161d3,INBOUND,0946819a-9285-487f-8ae5-4e23616154b8,,4d877418-6985-4c1e-bc05-84556798ae0e,20,REF-720647,,PENDING,2026-08-15T07:52:00Z,p.rossi,2026-08-15T07:52:00Z,asharma
392045ac-199c-4ea7-a3d3-76aad55efa09,OUTBOUND,0946819a-9285-487f-8ae5-4e23616154b8,19dae37a-da1c-418a-9f78-2ce52348d8ca,,180,REF-972310,,COMPLETED,2026-07-25T13:01:00Z,system,2026-07-25T13:01:00Z,mgarcia
a70eea88-2dc4-4f77-a4b5-e6d4959a115a,OUTBOUND,debc1375-1aa5-420b-b921-84e3a43ca39c,bc4fa1f5-5dbf-4e32-aee6-34d3cd4071c4,,28,REF-262959,Spend prove stock school rate.,PENDING,2026-08-02T19:11:00Z,system,2026-08-02T19:11:00Z,mgarcia
ab63b272-12ca-4214-a337-7a16c4a7971c,ADJUSTMENT,ef511182-ecb5-4fb6-a75f-0ce934048e21,cfb0ec19-feb6-4d4d-aa15-6bae1beb5c44,,116,REF-423284,,COMPLETED,2026-06-20T12:11:00Z,jkim,2026-06-20T12:11:00Z,asharma
836de3de-d19d-4470-b171-417fd66de84f,TRANSFER,53de87d0-38ef-40e2-a5b2-40541cb6f259,2007bcd8-2427-419a-b2d1-c4e296ae698e,9c009766-f0d1-4133-8643-8736c78c3b1a,183,REF-360276,,PENDING,2026-07-31T13:51:00Z,lchen,2026-07-31T13:51:00Z,jkim
a094de8d-93f0-4512-aece-85b256004681,TRANSFER,093912cf-ab6c-460d-ac4f-9fc1d34892ae,26c5e83c-6987-456b-a0d9-8a09b356fd33,59f6362e-b2c8-4821-a0b0-b9a096049ab2,143,REF-884417,,COMPLETED,2026-08-24T11:06:00Z,system,2026-08-24T11:06:00Z,jkim
0a38cc6b-4863-44b9-ba8c-3cdc29a93de4,OUTBOUND,753ba143-fcb4-4ad5-aaac-4c560ce33ebe,cfb0ec19-feb6-4d4d-aa15-6bae1beb5c44,,34,REF-307757,,COMPLETED,2026-08-26T22:07:00Z,p.rossi,2026-08-26T22:07:00Z,p.rossi
bc48a900-f61e-4e6a-96ad-8a588296950b,INBOUND,01bcdde8-4496-4eb6-a00f-5285b11dfc91,,4d877418-6985-4c1e-bc05-84556798ae0e,6,REF-167603,Behavior provide meet adult final week.,PENDING,2026-06-13T15:02:00Z,admin,2026-06-13T15:02:00Z,asharma
30e1ea93-5790-47bf-b88c-5042271fe01d,INBOUND,355edc4b-7ed7-4d11-b7d2-a0c3dabc64cd,,bed2f070-2299-4ba2-aaf8-e0814575c541,44,REF-701761,,PENDING,2026-08-12T22:31:00Z,system,2026-08-12T22:31:00Z,jkim
