ID,alertType,part_ID,location_ID,message,severity,isResolved,createdAt,createdBy,modifiedAt,modifiedBy
55329456-1440-4cc7-bccd-5bf77160f3d8,SYSTEM,2b5bcd76-0f4f-4419-a2af-5bd49198787a,bed2f070-2299-4ba2-aaf8-e0814575c541,Card good full poor store range wonder long.,HIGH,false,2026-06-28T02:35:00Z,system,2026-06-28T02:35:00Z,asharma
085ae1c4-17b4-4b61-b512-8f51a47c747b,EXPIRY,efd0389e-7297-4b7b-bf52-5c8fb100928b,59f6362e-b2c8-4821-a0b0-b9a096049ab2,Specific as simply leader fall analysis.,HIGH,true,2026-08-17T00:33:00Z,system,2026-08-17T00:33:00Z,p.rossi
7c3194db-f382-48d4-b31b-6acd066bdfb3,OVERSTOCK,c18e95af-f516-490d-bd1c-54c53ace05f2,4576857b-c5ee-4fe7-9ba9-832e5145de67,Though firm financial huge spring list.,MEDIUM,false,2026-07-21T18:36:00Z,system,2026-07-21T18:36:00Z,jkim
b3177d6a-bb15-462b-b17c-3b2b75deae74,EXPIRY,457f426f-13c2-48a4-ac7c-793a651b6225,9c009766-f0d1-4133-8643-8736c78c3b1a,Send course ground sit tend.,MEDIUM,false,2026-06-28T01:24:00Z,system,2026-06-28T01:24:00Z,mgarcia
2f18e4e4-65b6-4cb0-a4da-aed06496ef3c,SYSTEM,2b5bcd76-0f4f-4419-a2af-5bd49198787a,3a112cd1-76d9-4807-b433-bceb77a60ad0,Event son join hundred keep what fund cost.,MEDIUM,false,2026-06-30T04:46:00Z,system,2026-06-30T04:46:00Z,p.rossi
41e63ef6-0d3b-4bb7-a727-029e2866276e,OVERSTOCK,b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,eb366403-27af-4380-9d74-800a53ab8081,Happen something entire bar interesting issue yet Congress family.,HIGH,false,2026-08-23T16:38:00Z,system,2026-08-23T16:38:00Z,jkim
673d02d6-7fa9-4295-9026-b74036db5780,LOW_STOCK,13305991-e380-4e25-81ec-5e7f956f046d,26c5e83c-6987-456b-a0d9-8a09b356fd33,Bag produce fill owner international.,LOW,false,2026-08-11T17:45:00Z,system,2026-08-11T17:45:00Z,jkim
04418b1b-9543-46b4-a2a8-0e6e96202394,EXPIRY,b51b6aa7-f148-41c9-bd4d-8d578dfcfd94,7420b029-22ee-4015-94d4-fb873fa6ca32,Goal amount thank good your ever woman way avoid.,CRITICAL,false,2026-08-24T11:32:00Z,system,2026-08-24T11:32:00Z,mgarcia
ff001fb8-1542-4cf6-a3ef-6e3e7c6ea698,EXPIRY,457f426f-13c2-48a4-ac7c-793a651b6225,8cfe33b7-74d9-4457-a2c0-bd0fc0a85c49,Guy song quickly well central parent sit alone.,MEDIUM,false,2026-07-24T11:54:00Z,system,2026-07-24T11:54:00Z,jkim
68c47501-0c5f-424d-a86a-b442e89348e4,LOW_STOCK,efd0389e-7297-4b7b-bf52-5c8fb100928b,26c5e83c-6987-456b-a0d9-8a09b356fd33,Door population gun we allow.,LOW,true,2026-07-07T22:42:00Z,system,2026-07-07T22:42:00Z,mgarcia
f7ed6982-64ac-4e7f-9763-4e47ed64563d,LOW_STOCK,534234c8-9cd2-46ad-b01d-8a2cc0cf84e7,eb366403-27af-4380-9d74-800a53ab8081,Quickly we head several off morning.,HIGH,false,2026-08-17T11:50:00Z,system,2026-08-17T11:50:00Z,lchen
62c68dee-3056-47a6-a781-9588ed427eca,LOW_STOCK,de2c8387-ceea-4b72-aeb5-79833a9bff72,787fb9ac-b66a-4013-9d0e-600316db08a4,Fire everything whether ago control military trial brother.,CRITICAL,true,2026-07-01T08:15:00Z,system,2026-07-01T08:15:00Z,jkim
599e1941-3143-49ab-b248-34434cb90547,REORDER,b8ad8d43-3dea-496b-afb9-7724716b30f1,9700af2f-cafa-4d98-9f40-e1f13151b649,Region Democrat partner really your customer career.,HIGH,false,2026-08-21T13:47:00Z,system,2026-08-21T13:47:00Z,mgarcia
cbea0d2f-ff6b-4ed0-bb22-6040d9692be7,LOW_STOCK,0946819a-9285-487f-8ae5-4e23616154b8,322c1e37-016e-43cb-bd18-5b1321d9c55a,Later together knowledge because radio.,CRITICAL,true,2026-08-08T16:54:00Z,system,2026-08-08T16:54:00Z,jkim
9d7ce6f6-60a1-4a48-ad37-07db460d3a32,LOW_STOCK,c18e95af-f516-490d-bd1c-54c53ace05f2,2007bcd8-2427-419a-b2d1-c4e296ae698e,Property remember nearly face feel church remember record.,CRITICAL,true,2026-08-04T23:33:00Z,system,2026-08-04T23:33:00Z,jkim
f3a77ad4-1c5b-48d6-adc2-80b097e14f7d,OVERSTOCK,53de87d0-38ef-40e2-a5b2-40541cb6f259,004296f6-f720-49bf-9ec4-28edc4a82da7,Soldier meeting building cut catch so.,LOW,false,2026-08-26T17:50:00Z,system,2026-08-26T17:50:00Z,admin
0a3c45f5-4325-4340-b0f9-d5fe4f0d466e,OVERSTOCK,53de87d0-38ef-40e2-a5b2-40541cb6f259,3a43ca38-6b24-43ed-a264-c0a776a50297,Guess occur level work candidate.,CRITICAL,true,2026-08-02T08:29:00Z,system,2026-08-02T08:29:00Z,mgarcia
6a535b4e-7d51-4b51-b013-2502656cd7b9,REORDER,093912cf-ab6c-460d-ac4f-9fc1d34892ae,9c009766-f0d1-4133-8643-8736c78c3b1a,Assume huge response long improve.,HIGH,false,2026-07-02T11:37:00Z,system,2026-07-02T11:37:00Z,system
c5703789-140d-473f-9a23-5c16f6086040,OVERSTOCK,457f426f-13c2-48a4-ac7c-793a651b6225,759c807f-812b-496b-ae95-f989c539d42f,Statement available win politics last quite general there.,MEDIUM,false,2026-08-11T16:07:00Z,system,2026-08-11T16:07:00Z,p.rossi
c6c7554d-ece4-4132-ab0e-5f75f02a95ff,OVERSTOCK,438aaddc-15d3-44ed-a047-97d9fba54bd6,7420b029-22ee-4015-94d4-fb873fa6ca32,Policy consider whom item treat area buy check clearly follow.,MEDIUM,false,2026-08-21T21:18:00Z,system,2026-08-21T21:18:00Z,jkim
9a98ac3e-3549-4de9-86fa-2a11864ec4a8,SYSTEM,b8ad8d43-3dea-496b-afb9-7724716b30f1,3a43ca38-6b24-43ed-a264-c0a776a50297,Generation wait thus suffer economy play nearly.,CRITICAL,false,2026-07-05T11:08:00Z,system,2026-07-05T11:08:00Z,asharma
c9bcbaec-17cd-4e50-a3d1-bab7c6595325,EXPIRY,97982bf8-f2bd-4c95-93b7-32dd79324367,a027b987-01e1-4b1e-a380-1b24e693f738,Person pass behavior political option oil.,MEDIUM,true,2026-07-28T14:55:00Z,system,2026-07-28T14:55:00Z,admin
b4acbb1e-3f02-4117-90b2-e6d618c3b05f,REORDER,bd2c74bd-cc0f-4112-8fa2-101d5e36febc,4576857b-c5ee-4fe7-9ba9-832e5145de67,Probably result painting successful nor stay.,LOW,false,2026-07-30T18:50:00Z,system,2026-07-30T18:50:00Z,jkim
d52b395c-6ddc-4c1d-a00c-5663052934f1,REORDER,390632f6-1a4d-4528-9454-11af6a78fb67,26c5e83c-6987-456b-a0d9-8a09b356fd33,Ball we side enough decision.,HIGH,false,2026-07-15T10:48:00Z,system,2026-07-15T10:48:00Z,admin
7497d977-27dc-496c-950d-0ac4a50e4eee,SYSTEM,0946819a-9285-487f-8ae5-4e23616154b8,9700af2f-cafa-4d98-9f40-e1f13151b649,Indicate police marriage phone face what lot source rate father.,HIGH,false,2026-08-23T21:36:00Z,system,2026-08-23T21:36:00Z,lchen
de957346-aa9c-471c-b2b9-ddba7713608b,SYSTEM,debc1375-1aa5-420b-b921-84e3a43ca39c,fe17044a-0a91-4c99-9628-c7c2c76f5905,Read citizen indeed less future.,CRITICAL,true,2026-07-29T23:10:00Z,system,2026-07-29T23:10:00Z,system
